errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize
.1348,1,.2516603469848632,512,4,19000,1,1,1,1000,.6616752092916179,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.982,1,.25168380737304685,512,4,19000,1,2,1,1000,.6616752092916179,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9825999999999999,1,.2516473770141601,512,4,19000,1,2,1,1000,.6616752092916179,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.25166365305582683,512,4,19000,1,3,1,1000,.6616752092916179,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.2516549428304037,512,4,19000,1,3,1,1000,.6616752092916179,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.17550000000000007,1,.26305065155029295,512,4,20000,1,1,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.17450000000000004,1,.2629595438639323,512,4,20000,1,1,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9921,1,.26303081512451176,512,4,20000,1,2,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9924,1,.26301701863606775,512,4,20000,1,2,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.2630377451578776,512,4,20000,1,3,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.2630136489868164,512,4,20000,1,3,1,1000,.6955592542546721,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.00010000000000000009,1,.003806940714518229,512,4,1000,1,1,1,1000,.01718789146126932,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.01980000000000002,1,.0038068135579427077,512,4,1000,1,2,1,1000,.01718789146126932,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.8591999999999999,1,.0038067499796549478,512,4,1000,1,3,1,1000,.01718789146126932,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.00030000000000000024,1,.007600212097167968,512,4,2000,1,1,1,1000,.033104217167330315,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.06539999999999999,1,.007599067687988281,512,4,2000,1,2,1,1000,.033104217167330315,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9787000000000001,1,.007601102193196614,512,4,2000,1,3,1,1000,.033104217167330315,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.0014000000000000013,1,.011376317342122395,512,4,3000,1,1,1,1000,.048540598324998394,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.12880000000000003,1,.01137720743815104,512,4,3000,1,2,1,1000,.048540598324998394,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9964999999999999,1,.011380704243977864,512,4,3000,1,3,1,1000,.048540598324998394,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.002300000000000002,1,.0151455561319987,512,4,4000,1,1,1,1000,.06366530282424397,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.21239999999999998,1,.015143839518229169,512,4,4000,1,2,1,1000,.06366530282424397,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9993000000000001,1,.015144475301106769,512,4,4000,1,3,1,1000,.06366530282424397,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.004500000000000004,1,.01889209747314453,512,4,5000,1,1,1,1000,.07855824667755938,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.3141,1,.01888891855875651,512,4,5000,1,2,1,1000,.07855824667755938,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.01889336903889974,512,4,5000,1,3,1,1000,.07855824667755938,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.006000000000000005,1,.022624206542968754,512,4,6000,1,1,1,1000,.09326649938437179,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.40970000000000006,1,.022623062133789066,512,4,6000,1,2,1,1000,.09326649938437179,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.022625859578450525,512,4,6000,1,3,1,1000,.09326649938437179,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.01090000000000001,1,.026355934143066407,512,4,7000,1,1,1,1000,.10782116289327123,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.5168,1,.02634995778401693,512,4,7000,1,2,1,1000,.10782116289327123,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.026348241170247394,512,4,7000,1,3,1,1000,.10782116289327123,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.016700000000000013,1,.030060323079427083,512,4,8000,1,1,1,1000,.12224434262765457,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.6018,1,.03005568186442057,512,4,8000,1,2,1,1000,.12224434262765457,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.030052057902018224,512,4,8000,1,3,1,1000,.12224434262765457,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.023300000000000022,1,.03375237782796224,512,4,9000,1,1,1,1000,.13655256679856648,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.6844000000000001,1,.03375161488850912,512,4,9000,1,2,1,1000,.13655256679856648,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.033756955464680986,512,4,9000,1,3,1,1000,.13655256679856648,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.029200000000000025,1,.037428665161132815,512,4,10000,1,1,1,1000,.15075866457907708,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.7551,1,.03742237091064453,512,4,10000,1,2,1,1000,.15075866457907708,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.03743063608805338,512,4,10000,1,3,1,1000,.15075866457907708,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.03920000000000003,1,.041107749938964835,512,4,11000,1,1,1,1000,.16487288479086987,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
